,submission_status,work_rate,extra_time_min,average_answer_time_in_min,progress_percent
5742,passed,slow,1161.0,1341.0,22.0
5743,passed,slow,607.8000000000001,787.8000000000001,36.0
5744,passed,normal,0.0,96.60000000000001,36.0
5745,passed,slow,6403.2,6583.2,47.0
5746,passed,slow,1029.6,1209.6,47.0
5747,passed,slow,985.8,1165.8,24.0
5748,passed,slow,1180.2,1360.2,47.0
5749,passed,slow,1076.4,1256.4,47.0
5750,passed,slow,1227.6000000000001,1407.6000000000001,24.0
5751,passed,slow,1419.6,1599.6,28.0
5752,passed,slow,985.8,1165.8,57.0
5753,passed,normal,0.0,136.2,57.0
5754,passed,slow,567.6,747.6,57.0
5755,passed,fast,0.0,16.8,57.0
5756,passed,fast,0.0,65.4,57.0
5757,passed,fast,0.0,33.6,57.0
5758,passed,normal,0.0,242.4,57.0
5759,passed,slow,118.80000000000001,298.8,57.0
5760,passed,slow,517.2,877.2,57.0
5761,passed,fast,0.0,222.6,57.0
5762,passed,slow,3.0,363.0,57.0
5763,passed,normal,0.0,64.80000000000001,57.0
5764,passed,slow,567.6,927.6,57.0
5765,passed,normal,0.0,69.0,57.0
5766,passed,fast,0.0,51.00000000000001,57.0
5767,passed,slow,3.0,363.0,57.0
5768,passed,fast,0.0,189.0,57.0
5769,passed,fast,0.0,86.39999999999999,57.0
5770,passed,fast,0.0,50.400000000000006,57.0
5771,passed,normal,0.0,82.2,57.0
5772,passed,normal,0.0,95.4,57.0
5773,passed,normal,0.0,261.0,57.0
5774,passed,fast,0.0,23.400000000000002,57.0
5775,passed,fast,0.0,24.0,57.0
5776,passed,fast,0.0,9.6,57.0
5777,passed,normal,0.0,73.2,57.0
5778,passed,fast,0.0,36.00000000000001,57.0
5779,passed,fast,0.0,46.2,57.0
5780,passed,fast,0.0,121.2,57.0
5781,passed,slow,346.19999999999993,706.1999999999999,57.0
5782,passed,slow,659.4000000000001,1199.4,52.0
5783,passed,slow,345.6,705.6,52.0
5784,passed,fast,0.0,80.4,52.0
5785,passed,slow,674.4000000000001,1034.4,52.0
5786,passed,normal,0.0,80.4,52.0
5787,passed,normal,0.0,318.59999999999997,52.0
5788,passed,slow,690.0,1050.0,52.0
5789,passed,fast,0.0,55.2,52.0
5790,passed,normal,0.0,163.20000000000002,52.0
5791,passed,slow,66.60000000000002,426.6,52.0
5792,passed,slow,252.3,432.3,52.0
5793,passed,fast,0.0,18.6,52.0
5794,passed,fast,0.0,41.400000000000006,52.0
5795,passed,fast,0.0,161.4,52.0
5796,passed,fast,0.0,11.4,52.0
5797,passed,fast,0.0,19.2,52.0
5798,passed,slow,123.0,303.0,52.0
5799,passed,fast,0.0,9.6,52.0
5800,passed,fast,0.0,16.8,52.0
5801,passed,fast,0.0,43.2,52.0
5802,passed,fast,0.0,92.4,52.0
5803,passed,fast,0.0,8.4,52.0
5804,passed,slow,129.0,309.0,52.0
5805,passed,slow,54.0,234.0,52.0
5806,passed,normal,0.0,76.8,52.0
5807,passed,fast,0.0,43.800000000000004,52.0
5808,passed,normal,0.0,292.8,52.0
5809,passed,slow,80.39999999999998,620.4,22.0
5810,passed,slow,915.6000000000001,1095.6000000000001,22.0
5811,passed,slow,333.6,513.6,22.0
5812,passed,slow,604.8000000000001,964.8000000000001,22.0
5813,passed,fast,0.0,25.800000000000004,22.0
5814,passed,slow,312.6,672.6,22.0
5815,passed,fast,0.0,58.2,22.0
5816,passed,fast,0.0,10.200000000000001,22.0
5817,passed,normal,0.0,91.8,22.0
5818,passed,normal,0.0,126.0,22.0
5819,passed,fast,0.0,210.9,22.0
5820,passed,fast,0.0,3.5999999999999996,22.0
5821,passed,slow,1164.0000000000002,1344.0000000000002,59.0
5822,passed,slow,644.4,824.4,59.0
5823,passed,normal,0.0,94.80000000000001,59.0
5824,passed,normal,0.0,62.400000000000006,59.0
5825,passed,normal,0.0,449.925,59.0
5826,passed,slow,754.8000000000002,1114.8000000000002,59.0
